"Calendar_Year","Sector_General","Sector_Detail1","Sector_Detail2","Sector_GPC","Sector_GPC_Detail","Commodity_Type","Emissions_mtCO2e","Biogenic_Emissions_mtCO2e","Quantity","Quantity_Units"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","CNG","0.00","0.00","0.00","gallons"
"2019","Transportation","Public Transportation","MUNI","Transportation","On-road Transportation - MUNI Buses","Electricity","0.00","0.00","70,027,872.00","kWh"
"2019","Transportation","Public Transportation","Rail - Caltrain","Transportation","Railways - Caltrain","Diesel","14,711.87","0.00","1,428,347.83","gallons"
"2019","Transportation","Public Transportation","Rail - BART","Transportation","Railways - Bay Area Rapid Transit Traction","Electricity","8,454.35","0.00","260,936,598.84","kWh"
"2019","Transportation","Public Transportation","Rail - BART","Transportation","Railways - Bay Area Rapid Transit Other Power Contracts","Electricity","2,010.37","0.00","62,048,547.41","kWh"
"2019","Transportation","Public Transportation","Rail - BART","Transportation","Railways - Bay Area Rapid Transit PG&E","Electricity","1.34","0.00","631,626.06","kWh"
"2019","Transportation","Public Transportation","Ferry","Transportation","Waterborne Navigation - Ferry","Diesel","30,762.53","0.00","2,972,094.54","gallons"
"2019","Transportation","Public Transportation","Ferry","Transportation","Waterborne Navigation - Ferry","Diesel","0.00","0.00","0.00","gallons"
"2019","Transportation","Diesel - Ships and Boats (non-Ferry)","Diesel - Ships and Boats (non-Ferry)","Transportation","Waterborne Navigation - non-Ferry","Diesel","413,626.19","0.00","0.00","mtCO2e"
"2019","Buildings","Residential","PG&E Residential Natural Gas Distribution Fugitive Emissions Upstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","193,536.18","0.00","3,493,857.20","Therm"
"2019","Buildings","Commercial & Industrial","PG&E Commercial & Industrial Natural Gas Distribution Fugitive Emissions Upstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","122,184.83","0.00","2,205,770.19","Therm"
"2019","Municipal","Municipal Buildings","PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Upstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","25,648.40","0.00","463,023.70","Therm"
"2019","Buildings","Commercial & Industrial","PG&E District Natural Gas Distribution Fugitive Emissions Upstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","94.77","0.00","1,710.85","Therm"
"2019","Wastewater","Wastewater (Digester Gas)","Wastewater (Digester Gas)","Stationary","Commercial & Institutional Buildings and Facilities","Sludge gas","126.48","25,670.09","492,992.00","MMBTU"
